Timestamp;Date;Type;Detail
21:32:15.1187466;15-12-2024;Session Status;Start;Environment: Museum;Display Mode: Museum;Browsing Mode: Online;;
21:34:03.6268849;15-12-2024;User Movement;New position: (-4,487167,-3,33786E-06,9,096761);;
21:34:07.2097789;15-12-2024;User Movement;New position: (-5,49052,-8,34465E-07,3,615648);;
21:34:10.2043303;15-12-2024;User Movement;New position: (-3,115944,1,072884E-06,-0,9610785);;
21:34:12.8667274;15-12-2024;User Movement;New position: (2,02729,1,430511E-06,-0,9972264);;
21:34:14.2017495;15-12-2024;User Movement;New position: (4,236582,0,-2,476178);;
21:34:14.2033362;15-12-2024;User Movement;New position: (4,236582,0,-2,476178);;
21:34:16.5510967;15-12-2024;User Movement;New position: (9,292302,-1,192093E-07,-2,19812);;
21:35:20.3707046;15-12-2024;Selection;Selected;Url: https://www.emol.com/;
21:35:31.0853145;15-12-2024;Category;Added;Url: https://www.emol.com/;Name: Hola;
21:35:51.5702158;15-12-2024;User Movement;New position: (8,378135,-2,384186E-07,-1,56399);;
21:36:11.8080652;15-12-2024;User Movement;New position: (10,4771,4,768372E-07,-0,2303257);;
21:36:20.9338170;15-12-2024;User Movement;New position: (8,110893,0,-2,362782);;
21:36:22.8967765;15-12-2024;User Movement;New position: (3,391174,-1,192093E-07,-1,611603);;
21:36:24.9432573;15-12-2024;User Movement;New position: (-0,02533436,-4,768372E-07,3,151811);;
21:36:25.7417911;15-12-2024;User Movement;New position: (-3,995863,-3,099442E-06,9,064987);;
21:36:33.0146958;15-12-2024;User Movement;New position: (-0,1037311,-4,410744E-06,12,34736);;
21:36:43.4217358;15-12-2024;User Movement;New position: (0,957669,-3,814697E-06,10,87573);;
21:36:59.5108882;15-12-2024;User Movement;New position: (0,4648868,-4,172325E-06,11,23171);;
