Timestamp;Date;Type;Detail
00:03:31.9469107;04-02-2025;Session Status;Start;Environment: Museum;Display Mode: Museum;Browsing Mode: Online;;
00:03:37.0178987;04-02-2025;User Movement;New position: (1,457738,0,1,772193);;
00:03:37.0194056;04-02-2025;User Movement;New position: (1,457738,0,1,772193);;
00:03:38.9017613;04-02-2025;User Movement;New position: (1,270774,-2,384186E-07,-1,667614);;
00:03:38.9037818;04-02-2025;User Movement;New position: (1,270774,-2,384186E-07,-1,667614);;
00:03:42.6916420;04-02-2025;User Movement;New position: (0,6808079,3,576279E-07,-5,205965);;
00:03:42.6931615;04-02-2025;User Movement;New position: (0,6808079,3,576279E-07,-5,205965);;
00:03:45.3746676;04-02-2025;User Movement;New position: (0,3644358,7,152557E-07,-8,017718);;
00:03:45.3766745;04-02-2025;User Movement;New position: (0,3644358,7,152557E-07,-8,017718);;
00:03:47.8257518;04-02-2025;User Movement;New position: (-0,7646339,1,072884E-06,-9,748047);;
00:03:47.8272569;04-02-2025;User Movement;New position: (-0,7646339,1,072884E-06,-9,748047);;
