Timestamp;Date;Type;Detail
18:49:52.0388898;19-02-2025;Session Status;Start;Environment: Museum;Display Mode: Museum;Browsing Mode: Online;;
18:50:03.2599766;19-02-2025;User Movement;New position: (-3,639542,-2,264977E-06,7,321444);;
18:50:03.2624880;19-02-2025;User Movement;New position: (-3,639542,-2,264977E-06,7,321444);;
18:50:06.5991765;19-02-2025;User Movement;New position: (-4,334438,-1,311302E-06,5,201111);;
18:50:06.5996846;19-02-2025;User Movement;New position: (-4,334438,-1,311302E-06,5,201111);;
18:50:07.9633153;19-02-2025;User Movement;New position: (-4,625645,-4,768372E-07,3,128812);;
18:50:07.9653230;19-02-2025;User Movement;New position: (-4,625645,-4,768372E-07,3,128812);;
18:50:09.0320875;19-02-2025;User Movement;New position: (-3,523573,0,2,05758);;
18:50:09.0331042;19-02-2025;User Movement;New position: (-3,523573,0,2,05758);;
18:50:14.8443425;19-02-2025;User Movement;New position: (-2,833612,5,960464E-07,0,6524332);;
18:50:14.8468518;19-02-2025;User Movement;New position: (-2,833612,5,960464E-07,0,6524332);;
18:50:16.0175835;19-02-2025;User Movement;New position: (-2,306935,8,34465E-07,0,3212015);;
18:50:16.0190871;19-02-2025;User Movement;New position: (-2,306935,8,34465E-07,0,3212015);;
